,date,month,year,instruments,volume
136,2019-05-01,5,2019,Municipal bonds_Retail Clients,138
16,2019-05-01,5,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,186
28,2019-05-01,5,2019,Strip Bond Trading (coupons and residuals)_Banks,107
40,2019-05-01,5,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,3414
4,2019-05-01,5,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,129
76,2019-05-01,5,2019,Strip Bond Trading (coupons and residuals)_Issuer,82
64,2019-05-01,5,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,429
52,2019-05-01,5,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,333
101,2019-06-01,6,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,275
113,2019-06-01,6,2019,Municipal bonds_Banks,48
125,2019-06-01,6,2019,Municipal bonds_Institutional Clients,2043
89,2019-06-01,6,2019,Municipal bonds_Investment Dealers,120
161,2019-06-01,6,2019,Municipal bonds_Issuer,0
149,2019-06-01,6,2019,Municipal bonds_Non-Residents,346
137,2019-06-01,6,2019,Municipal bonds_Retail Clients,125
17,2019-06-01,6,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,104
29,2019-06-01,6,2019,Strip Bond Trading (coupons and residuals)_Banks,179
41,2019-06-01,6,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,4125
5,2019-06-01,6,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,231
77,2019-06-01,6,2019,Strip Bond Trading (coupons and residuals)_Issuer,39
65,2019-06-01,6,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,767
53,2019-06-01,6,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,498
102,2019-07-01,7,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,701
114,2019-07-01,7,2019,Municipal bonds_Banks,133
126,2019-07-01,7,2019,Municipal bonds_Institutional Clients,1522
90,2019-07-01,7,2019,Municipal bonds_Investment Dealers,117
162,2019-07-01,7,2019,Municipal bonds_Issuer,0
150,2019-07-01,7,2019,Municipal bonds_Non-Residents,420
138,2019-07-01,7,2019,Municipal bonds_Retail Clients,125
18,2019-07-01,7,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,488
30,2019-07-01,7,2019,Strip Bond Trading (coupons and residuals)_Banks,316
42,2019-07-01,7,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,3504
6,2019-07-01,7,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,298
78,2019-07-01,7,2019,Strip Bond Trading (coupons and residuals)_Issuer,22
66,2019-07-01,7,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,79
54,2019-07-01,7,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,467
103,2019-08-01,8,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,459
115,2019-08-01,8,2019,Municipal bonds_Banks,97
127,2019-08-01,8,2019,Municipal bonds_Institutional Clients,1324
91,2019-08-01,8,2019,Municipal bonds_Investment Dealers,160
163,2019-08-01,8,2019,Municipal bonds_Issuer,0
151,2019-08-01,8,2019,Municipal bonds_Non-Residents,212
139,2019-08-01,8,2019,Municipal bonds_Retail Clients,88
19,2019-08-01,8,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,228
31,2019-08-01,8,2019,Strip Bond Trading (coupons and residuals)_Banks,133
43,2019-08-01,8,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,1703
7,2019-08-01,8,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,244
79,2019-08-01,8,2019,Strip Bond Trading (coupons and residuals)_Issuer,0
67,2019-08-01,8,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,289
55,2019-08-01,8,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,312
104,2019-09-01,9,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,442
116,2019-09-01,9,2019,Municipal bonds_Banks,165
128,2019-09-01,9,2019,Municipal bonds_Institutional Clients,1320
92,2019-09-01,9,2019,Municipal bonds_Investment Dealers,236
164,2019-09-01,9,2019,Municipal bonds_Issuer,2
152,2019-09-01,9,2019,Municipal bonds_Non-Residents,274
140,2019-09-01,9,2019,Municipal bonds_Retail Clients,128
20,2019-09-01,9,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,173
32,2019-09-01,9,2019,Strip Bond Trading (coupons and residuals)_Banks,342
44,2019-09-01,9,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,2724
8,2019-09-01,9,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,197
80,2019-09-01,9,2019,Strip Bond Trading (coupons and residuals)_Issuer,92
68,2019-09-01,9,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,134
56,2019-09-01,9,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,506
105,2019-10-01,10,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,884
117,2019-10-01,10,2019,Municipal bonds_Banks,202
129,2019-10-01,10,2019,Municipal bonds_Institutional Clients,1578
93,2019-10-01,10,2019,Municipal bonds_Investment Dealers,212
165,2019-10-01,10,2019,Municipal bonds_Issuer,0
153,2019-10-01,10,2019,Municipal bonds_Non-Residents,391
141,2019-10-01,10,2019,Municipal bonds_Retail Clients,136
21,2019-10-01,10,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,282
33,2019-10-01,10,2019,Strip Bond Trading (coupons and residuals)_Banks,341
45,2019-10-01,10,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,5101
9,2019-10-01,10,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,338
81,2019-10-01,10,2019,Strip Bond Trading (coupons and residuals)_Issuer,30
69,2019-10-01,10,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,210
57,2019-10-01,10,2019,Strip Bond Trading (coupons and residuals)_Retail Clients,383
106,2019-11-01,11,2019,Municipal bonds_Anonymous Systems: IDBBs and ATSs,793
118,2019-11-01,11,2019,Municipal bonds_Banks,282
130,2019-11-01,11,2019,Municipal bonds_Institutional Clients,2726
94,2019-11-01,11,2019,Municipal bonds_Investment Dealers,315
166,2019-11-01,11,2019,Municipal bonds_Issuer,4
154,2019-11-01,11,2019,Municipal bonds_Non-Residents,510
142,2019-11-01,11,2019,Municipal bonds_Retail Clients,132
22,2019-11-01,11,2019,Strip Bond Trading (coupons and residuals)_Anonymous Systems: IDBBs and ATSs,143
34,2019-11-01,11,2019,Strip Bond Trading (coupons and residuals)_Banks,77
46,2019-11-01,11,2019,Strip Bond Trading (coupons and residuals)_Institutional Clients,3362
10,2019-11-01,11,2019,Strip Bond Trading (coupons and residuals)_Investment Dealers,169
82,2019-11-01,11,2019,Strip Bond Trading (coupons and residuals)_Issuer,62
70,2019-11-01,11,2019,Strip Bond Trading (coupons and residuals)_Non-Residents,96
