,date,month,year,instruments,volume
125,2019-06-01,6,2019,Asset-Backed Securities_All,7
89,2019-06-01,6,2019,Corporate Bonds_Over 10 years,341
77,2019-06-01,6,2019,Corporate Bonds_Under 10 years,13690
41,2019-06-01,6,2019,Federal Crown Corporation Bonds_All,253690
149,2019-06-01,6,2019,Government of Canada Bonds_All,5
113,2019-06-01,6,2019,Mortgage Backed Securities_All,13520
101,2019-06-01,6,2019,Municipal Bonds_All,2053
137,2019-06-01,6,2019,Other Domestic Bonds_All,91
173,2019-06-01,6,2019,Other_All,4560
161,2019-06-01,6,2019,Provincial Bonds_All,15261
65,2019-06-01,6,2019,Provincial Bonds_Over 10 years,174474
53,2019-06-01,6,2019,Provincial Bonds_Under 10 years,214202
5,2019-06-01,6,2019,The Month_3-10 years,812010
17,2019-06-01,6,2019,The Month_Over 10 years,185968
29,2019-06-01,6,2019,The Month_Real Return Bonds,110093
126,2019-07-01,7,2019,Asset-Backed Securities_All,24
90,2019-07-01,7,2019,Corporate Bonds_Over 10 years,282
78,2019-07-01,7,2019,Corporate Bonds_Under 10 years,15797
42,2019-07-01,7,2019,Federal Crown Corporation Bonds_All,272435
150,2019-07-01,7,2019,Government of Canada Bonds_All,161
114,2019-07-01,7,2019,Mortgage Backed Securities_All,17482
102,2019-07-01,7,2019,Municipal Bonds_All,2384
138,2019-07-01,7,2019,Other Domestic Bonds_All,37
174,2019-07-01,7,2019,Other_All,6801
162,2019-07-01,7,2019,Provincial Bonds_All,21645
66,2019-07-01,7,2019,Provincial Bonds_Over 10 years,167957
54,2019-07-01,7,2019,Provincial Bonds_Under 10 years,234430
6,2019-07-01,7,2019,The Month_3-10 years,838288
18,2019-07-01,7,2019,The Month_Over 10 years,220495
30,2019-07-01,7,2019,The Month_Real Return Bonds,97245
127,2019-08-01,8,2019,Asset-Backed Securities_All,17
91,2019-08-01,8,2019,Corporate Bonds_Over 10 years,327
79,2019-08-01,8,2019,Corporate Bonds_Under 10 years,13178
43,2019-08-01,8,2019,Federal Crown Corporation Bonds_All,267943
151,2019-08-01,8,2019,Government of Canada Bonds_All,52
115,2019-08-01,8,2019,Mortgage Backed Securities_All,23688
103,2019-08-01,8,2019,Municipal Bonds_All,1334
139,2019-08-01,8,2019,Other Domestic Bonds_All,59
175,2019-08-01,8,2019,Other_All,6726
163,2019-08-01,8,2019,Provincial Bonds_All,20588
67,2019-08-01,8,2019,Provincial Bonds_Over 10 years,145598
55,2019-08-01,8,2019,Provincial Bonds_Under 10 years,202786
7,2019-08-01,8,2019,The Month_3-10 years,711189
19,2019-08-01,8,2019,The Month_Over 10 years,229812
31,2019-08-01,8,2019,The Month_Real Return Bonds,82339
128,2019-09-01,9,2019,Asset-Backed Securities_All,17
92,2019-09-01,9,2019,Corporate Bonds_Over 10 years,193
80,2019-09-01,9,2019,Corporate Bonds_Under 10 years,12144
44,2019-09-01,9,2019,Federal Crown Corporation Bonds_All,233081
152,2019-09-01,9,2019,Government of Canada Bonds_All,87
116,2019-09-01,9,2019,Mortgage Backed Securities_All,14824
104,2019-09-01,9,2019,Municipal Bonds_All,2367
140,2019-09-01,9,2019,Other Domestic Bonds_All,34
176,2019-09-01,9,2019,Other_All,7468
164,2019-09-01,9,2019,Provincial Bonds_All,17984
68,2019-09-01,9,2019,Provincial Bonds_Over 10 years,169156
56,2019-09-01,9,2019,Provincial Bonds_Under 10 years,213276
8,2019-09-01,9,2019,The Month_3-10 years,601896
20,2019-09-01,9,2019,The Month_Over 10 years,206527
32,2019-09-01,9,2019,The Month_Real Return Bonds,119370
129,2019-10-01,10,2019,Asset-Backed Securities_All,25
93,2019-10-01,10,2019,Corporate Bonds_Over 10 years,350
81,2019-10-01,10,2019,Corporate Bonds_Under 10 years,11413
45,2019-10-01,10,2019,Federal Crown Corporation Bonds_All,257574
153,2019-10-01,10,2019,Government of Canada Bonds_All,113
117,2019-10-01,10,2019,Mortgage Backed Securities_All,23893
105,2019-10-01,10,2019,Municipal Bonds_All,2556
141,2019-10-01,10,2019,Other Domestic Bonds_All,32
177,2019-10-01,10,2019,Other_All,5987
165,2019-10-01,10,2019,Provincial Bonds_All,18251
69,2019-10-01,10,2019,Provincial Bonds_Over 10 years,180947
57,2019-10-01,10,2019,Provincial Bonds_Under 10 years,220721
9,2019-10-01,10,2019,The Month_3-10 years,619621
21,2019-10-01,10,2019,The Month_Over 10 years,249652
33,2019-10-01,10,2019,The Month_Real Return Bonds,121518
130,2019-11-01,11,2019,Asset-Backed Securities_All,54
94,2019-11-01,11,2019,Corporate Bonds_Over 10 years,223
82,2019-11-01,11,2019,Corporate Bonds_Under 10 years,9940
46,2019-11-01,11,2019,Federal Crown Corporation Bonds_All,308897
154,2019-11-01,11,2019,Government of Canada Bonds_All,76
