,date,month,year,instruments,volume
122,2019-03-01,3,2019,Asset-Backed Securities_Institutional Clients,1803
86,2019-03-01,3,2019,Asset-Backed Securities_Investment Dealers,18
158,2019-03-01,3,2019,Asset-Backed Securities_Issuer,0.0
146,2019-03-01,3,2019,Asset-Backed Securities_Non-Residents,76
134,2019-03-01,3,2019,Asset-Backed Securities_Retail Clients,3
14,2019-03-01,3,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,0
26,2019-03-01,3,2019,Mortgage Backed Securities_Banks,1280
38,2019-03-01,3,2019,Mortgage Backed Securities_Institutional Clients,2563
2,2019-03-01,3,2019,Mortgage Backed Securities_Investment Dealers,170
74,2019-03-01,3,2019,Mortgage Backed Securities_Issuer,0
62,2019-03-01,3,2019,Mortgage Backed Securities_Non-Residents,40
50,2019-03-01,3,2019,Mortgage Backed Securities_Retail Clients,92
99,2019-04-01,4,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,79
111,2019-04-01,4,2019,Asset-Backed Securities_Banks,14
123,2019-04-01,4,2019,Asset-Backed Securities_Institutional Clients,730
87,2019-04-01,4,2019,Asset-Backed Securities_Investment Dealers,24
159,2019-04-01,4,2019,Asset-Backed Securities_Issuer,0.0
147,2019-04-01,4,2019,Asset-Backed Securities_Non-Residents,83
135,2019-04-01,4,2019,Asset-Backed Securities_Retail Clients,1
15,2019-04-01,4,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,2
27,2019-04-01,4,2019,Mortgage Backed Securities_Banks,2677
39,2019-04-01,4,2019,Mortgage Backed Securities_Institutional Clients,4429
3,2019-04-01,4,2019,Mortgage Backed Securities_Investment Dealers,878
75,2019-04-01,4,2019,Mortgage Backed Securities_Issuer,0
63,2019-04-01,4,2019,Mortgage Backed Securities_Non-Residents,26
51,2019-04-01,4,2019,Mortgage Backed Securities_Retail Clients,11
100,2019-05-01,5,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,153
112,2019-05-01,5,2019,Asset-Backed Securities_Banks,10
124,2019-05-01,5,2019,Asset-Backed Securities_Institutional Clients,796
88,2019-05-01,5,2019,Asset-Backed Securities_Investment Dealers,20
160,2019-05-01,5,2019,Asset-Backed Securities_Issuer,0.0
148,2019-05-01,5,2019,Asset-Backed Securities_Non-Residents,105
136,2019-05-01,5,2019,Asset-Backed Securities_Retail Clients,3
16,2019-05-01,5,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,0
28,2019-05-01,5,2019,Mortgage Backed Securities_Banks,1719
40,2019-05-01,5,2019,Mortgage Backed Securities_Institutional Clients,2655
4,2019-05-01,5,2019,Mortgage Backed Securities_Investment Dealers,546
76,2019-05-01,5,2019,Mortgage Backed Securities_Issuer,0
64,2019-05-01,5,2019,Mortgage Backed Securities_Non-Residents,14
52,2019-05-01,5,2019,Mortgage Backed Securities_Retail Clients,22
101,2019-06-01,6,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,70
113,2019-06-01,6,2019,Asset-Backed Securities_Banks,521
125,2019-06-01,6,2019,Asset-Backed Securities_Institutional Clients,1475
89,2019-06-01,6,2019,Asset-Backed Securities_Investment Dealers,19
161,2019-06-01,6,2019,Asset-Backed Securities_Issuer,0.0
149,2019-06-01,6,2019,Asset-Backed Securities_Non-Residents,48
137,2019-06-01,6,2019,Asset-Backed Securities_Retail Clients,3
17,2019-06-01,6,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,20
29,2019-06-01,6,2019,Mortgage Backed Securities_Banks,1513
41,2019-06-01,6,2019,Mortgage Backed Securities_Institutional Clients,3366
5,2019-06-01,6,2019,Mortgage Backed Securities_Investment Dealers,397
77,2019-06-01,6,2019,Mortgage Backed Securities_Issuer,0
65,2019-06-01,6,2019,Mortgage Backed Securities_Non-Residents,8
53,2019-06-01,6,2019,Mortgage Backed Securities_Retail Clients,29
102,2019-07-01,7,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,213
114,2019-07-01,7,2019,Asset-Backed Securities_Banks,18
126,2019-07-01,7,2019,Asset-Backed Securities_Institutional Clients,839
90,2019-07-01,7,2019,Asset-Backed Securities_Investment Dealers,42
162,2019-07-01,7,2019,Asset-Backed Securities_Issuer,0.0
150,2019-07-01,7,2019,Asset-Backed Securities_Non-Residents,32
138,2019-07-01,7,2019,Asset-Backed Securities_Retail Clients,4
18,2019-07-01,7,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,129
30,2019-07-01,7,2019,Mortgage Backed Securities_Banks,3030
42,2019-07-01,7,2019,Mortgage Backed Securities_Institutional Clients,5089
6,2019-07-01,7,2019,Mortgage Backed Securities_Investment Dealers,1361
78,2019-07-01,7,2019,Mortgage Backed Securities_Issuer,0
66,2019-07-01,7,2019,Mortgage Backed Securities_Non-Residents,12
54,2019-07-01,7,2019,Mortgage Backed Securities_Retail Clients,25
103,2019-08-01,8,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,65
115,2019-08-01,8,2019,Asset-Backed Securities_Banks,3
127,2019-08-01,8,2019,Asset-Backed Securities_Institutional Clients,361
91,2019-08-01,8,2019,Asset-Backed Securities_Investment Dealers,1
163,2019-08-01,8,2019,Asset-Backed Securities_Issuer,0.0
151,2019-08-01,8,2019,Asset-Backed Securities_Non-Residents,73
139,2019-08-01,8,2019,Asset-Backed Securities_Retail Clients,1
19,2019-08-01,8,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,91
31,2019-08-01,8,2019,Mortgage Backed Securities_Banks,3829
43,2019-08-01,8,2019,Mortgage Backed Securities_Institutional Clients,4590
7,2019-08-01,8,2019,Mortgage Backed Securities_Investment Dealers,1033
79,2019-08-01,8,2019,Mortgage Backed Securities_Issuer,0
67,2019-08-01,8,2019,Mortgage Backed Securities_Non-Residents,5
55,2019-08-01,8,2019,Mortgage Backed Securities_Retail Clients,41
104,2019-09-01,9,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,23
116,2019-09-01,9,2019,Asset-Backed Securities_Banks,47
128,2019-09-01,9,2019,Asset-Backed Securities_Institutional Clients,751
92,2019-09-01,9,2019,Asset-Backed Securities_Investment Dealers,119
164,2019-09-01,9,2019,Asset-Backed Securities_Issuer,0.0
152,2019-09-01,9,2019,Asset-Backed Securities_Non-Residents,149
140,2019-09-01,9,2019,Asset-Backed Securities_Retail Clients,3
20,2019-09-01,9,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,32
32,2019-09-01,9,2019,Mortgage Backed Securities_Banks,1575
44,2019-09-01,9,2019,Mortgage Backed Securities_Institutional Clients,2401
8,2019-09-01,9,2019,Mortgage Backed Securities_Investment Dealers,446
80,2019-09-01,9,2019,Mortgage Backed Securities_Issuer,0
68,2019-09-01,9,2019,Mortgage Backed Securities_Non-Residents,0
56,2019-09-01,9,2019,Mortgage Backed Securities_Retail Clients,57
105,2019-10-01,10,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,181
117,2019-10-01,10,2019,Asset-Backed Securities_Banks,37
129,2019-10-01,10,2019,Asset-Backed Securities_Institutional Clients,1001
93,2019-10-01,10,2019,Asset-Backed Securities_Investment Dealers,45
165,2019-10-01,10,2019,Asset-Backed Securities_Issuer,0.0
153,2019-10-01,10,2019,Asset-Backed Securities_Non-Residents,136
141,2019-10-01,10,2019,Asset-Backed Securities_Retail Clients,6
21,2019-10-01,10,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,38
33,2019-10-01,10,2019,Mortgage Backed Securities_Banks,3404
45,2019-10-01,10,2019,Mortgage Backed Securities_Institutional Clients,3814
9,2019-10-01,10,2019,Mortgage Backed Securities_Investment Dealers,904
81,2019-10-01,10,2019,Mortgage Backed Securities_Issuer,0
69,2019-10-01,10,2019,Mortgage Backed Securities_Non-Residents,0
57,2019-10-01,10,2019,Mortgage Backed Securities_Retail Clients,49
106,2019-11-01,11,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,87
118,2019-11-01,11,2019,Asset-Backed Securities_Banks,43
130,2019-11-01,11,2019,Asset-Backed Securities_Institutional Clients,945
94,2019-11-01,11,2019,Asset-Backed Securities_Investment Dealers,143
166,2019-11-01,11,2019,Asset-Backed Securities_Issuer,0.0
154,2019-11-01,11,2019,Asset-Backed Securities_Non-Residents,44
142,2019-11-01,11,2019,Asset-Backed Securities_Retail Clients,8
22,2019-11-01,11,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,191
34,2019-11-01,11,2019,Mortgage Backed Securities_Banks,1939
46,2019-11-01,11,2019,Mortgage Backed Securities_Institutional Clients,1718
10,2019-11-01,11,2019,Mortgage Backed Securities_Investment Dealers,958
82,2019-11-01,11,2019,Mortgage Backed Securities_Issuer,0
70,2019-11-01,11,2019,Mortgage Backed Securities_Non-Residents,4
58,2019-11-01,11,2019,Mortgage Backed Securities_Retail Clients,5
107,2019-12-01,12,2019,Asset-Backed Securities_Anonymous Systems: IDBBs and ATSs,46
119,2019-12-01,12,2019,Asset-Backed Securities_Banks,55
131,2019-12-01,12,2019,Asset-Backed Securities_Institutional Clients,828
95,2019-12-01,12,2019,Asset-Backed Securities_Investment Dealers,12
167,2019-12-01,12,2019,Asset-Backed Securities_Issuer,0.0
155,2019-12-01,12,2019,Asset-Backed Securities_Non-Residents,11
143,2019-12-01,12,2019,Asset-Backed Securities_Retail Clients,2
23,2019-12-01,12,2019,Mortgage Backed Securities_Anonymous Systems: IDBBs and ATSs,50
